LATITUDE,LONGITUDE,GRAINSIZE
48.37046,-125.18980,6.02552509
48.37072,-125.17631,4.35218859
48.37097,-125.16281,2.93382764
48.37123,-125.14932,2.03337240
48.37148,-125.13583,1.70830858
48.37173,-125.12233,1.07534754
48.37197,-125.10884,1.43119323
48.37222,-125.09535,1.52698874
48.37247,-125.08185,1.35221136
48.37271,-125.06836,1.40901101
48.37295,-125.05486,2.06202602
48.37319,-125.04137,2.04469967
48.37343,-125.02787,3.16114545
48.37367,-125.01438,3.31665325
48.37390,-125.00088,3.48519850
48.37414,-124.98739,3.10962105
48.37437,-124.97389,2.57050157
48.37460,-124.96040,2.38224816
48.37483,-124.94690,2.62599349
48.37506,-124.93341,2.63751531
48.37528,-124.91991,2.63385463
48.37551,-124.90641,2.98587227
48.37573,-124.89292,3.58244848
48.37595,-124.87942,3.49497962
48.37617,-124.86592,4.12710333
48.37639,-124.85243,4.13306713
48.37661,-124.83893,3.69905281
48.37682,-124.82543,3.28432608
48.37704,-124.81193,2.90093994
48.37725,-124.79844,2.37150216
48.37746,-124.78494,1.86468387
48.37767,-124.77144,1.27274001
48.37787,-124.75794,0.73150641
48.37808,-124.74444,0.38092306
48.37828,-124.73095,0.22594872
48.37986,-124.62295,1.68064046
48.38005,-124.60945,1.62207794
48.38024,-124.59595,1.16795492
48.38042,-124.58245,0.86181051
48.38061,-124.56895,0.89767134
48.38079,-124.55545,0.96149486
48.38097,-124.54195,1.02129209
48.38115,-124.52845,1.34573066
48.38133,-124.51495,2.00701928
48.38151,-124.50145,2.67037344
48.38168,-124.48795,2.94463801
48.38186,-124.47445,3.10802889
48.38203,-124.46095,3.28825283
48.38220,-124.44745,3.62353253
48.38237,-124.43395,3.74628377
48.38254,-124.42044,3.78783751
48.38270,-124.40694,4.00294065
48.38287,-124.39344,3.99469829
48.38303,-124.37994,4.02738810
48.38319,-124.36644,3.93712449
48.38335,-124.35293,3.80247808
48.38351,-124.33943,3.77220106
48.38367,-124.32593,3.73071742
48.38382,-124.31243,3.64385056
48.38397,-124.29892,3.55950832
48.38412,-124.28542,3.50329161
48.38428,-124.27192,3.46795654
48.38442,-124.25842,3.48684311
48.38457,-124.24491,3.36486220
48.38472,-124.23141,3.35330486
48.38486,-124.21791,3.39632440
48.38500,-124.20440,3.41720319
48.38514,-124.19090,3.40593600
48.38528,-124.17740,3.36596727
48.38542,-124.16389,3.33207369
48.38555,-124.15039,3.33506417
48.35828,-125.35129,1.34811950
48.35855,-125.33780,1.12555921
48.35882,-125.32431,1.50078189
48.35910,-125.31082,2.00560212
48.35937,-125.29733,2.98500299
48.35963,-125.28384,2.31824636
48.35990,-125.27035,3.44520640
48.36017,-125.25686,3.93632865
48.36043,-125.24337,4.95324183
48.36069,-125.22989,5.63735580
48.36095,-125.21640,6.58739901
48.36121,-125.20291,6.23785830
48.36147,-125.18941,5.27763796
48.36173,-125.17592,3.16208410
48.36198,-125.16243,2.84583187
48.36223,-125.14894,1.91724932
48.36249,-125.13545,2.14462352
48.36274,-125.12196,1.91147244
48.36298,-125.10847,1.35506570
48.36323,-125.09498,1.42041492
48.36348,-125.08149,1.42199230
48.36372,-125.06799,1.42928088
48.36396,-125.05450,2.33100605
48.36420,-125.04101,2.61064005
